sites,run,icd,exec
1,1,22,11538
1,2,39,14713
1,3,80,12957
1,4,39,12554
1,5,31,13435
1,6,45,12765
1,7,15,14031
1,8,31,13806
1,9,49,16212
1,10,48,19473
1,11,45,15994
1,12,22,12345
1,13,45,16707
1,14,25,15982
1,15,47,14468
1,16,41,11242
1,17,58,14351
1,18,46,17845
1,19,53,20491
1,20,36,12892
2,1,67,14898
2,2,59,16626
2,3,28,12669
2,4,44,19698
2,5,57,20789
2,6,54,17074
2,7,23,21201
2,8,9,13127
2,9,8,18174
2,10,41,13093
2,11,49,15941
2,12,29,15288
2,13,55,15086
2,14,74,15881
2,15,27,14343
2,16,80,20032
2,17,27,13700
2,18,37,14341
2,19,45,13031
2,20,51,14572
3,1,27,14142
3,2,24,18513
3,3,43,13047
3,4,59,17199
3,5,49,14361
3,6,68,12811
3,7,50,17856
3,8,45,14783
3,9,33,14121
3,10,40,14578
3,11,31,13715
3,12,36,15658
3,13,46,14138
3,14,54,15000
3,15,20,17857
3,16,32,17390
3,17,69,15499
3,18,19,17852
3,19,31,14561
3,20,58,16571
4,1,15,16091
4,2,42,16822
4,3,71,20549
4,4,44,16581
4,5,62,17237
4,6,38,13219
4,7,73,17901
4,8,66,15880
4,9,36,14802
4,10,56,13681
4,11,41,18120
4,12,47,16943
4,13,37,12656
4,14,71,13760
4,15,26,15297
4,16,43,18618
4,17,33,17281
4,18,57,14628
4,19,41,17487
4,20,46,15549
5,1,31,13760
5,2,42,15740
5,3,34,15526
5,4,56,18587
5,5,54,21017
5,6,39,13759
5,7,17,16600
5,8,45,20917
5,9,64,16749
5,10,68,18281
5,11,85,18282
5,12,77,12811
5,13,27,13688
5,14,39,15451
5,15,61,17406
5,16,52,18747
5,17,27,13472
5,18,66,14356
5,19,56,17207
5,20,31,15715
6,1,48,18569
6,2,16,12873
6,3,22,13080
6,4,36,15057
6,5,41,15324
6,6,55,23849
6,7,76,14848
6,8,53,13753
6,9,17,14854
6,10,39,18591
6,11,30,16126
6,12,26,13748
6,13,47,18807
6,14,64,15524
6,15,70,19180
6,16,43,14779
6,17,36,15220
6,18,38,13060
6,19,35,15220
6,20,35,12390
7,1,73,15891
7,2,37,16105
7,3,40,15879
7,4,34,17230
7,5,37,15000
7,6,53,26049
7,7,33,15751
7,8,42,14643
7,9,33,16629
7,10,38,17056
7,11,36,15922
7,12,24,17947
7,13,37,17692
7,14,31,12011
7,15,20,16855
7,16,34,14200
7,17,68,19022
7,18,30,16618
7,19,62,13991
7,20,38,13312
8,1,51,15285
8,2,48,14868
8,3,43,14182
8,4,39,17392
8,5,48,14999
8,6,41,11951
8,7,77,22247
8,8,24,16581
8,9,35,13722
8,10,45,16340
8,11,35,17001
8,12,24,12196
8,13,25,16790
8,14,39,15069
8,15,38,15094
8,16,35,15259
8,17,53,15059
8,18,36,15059
8,19,44,15102
8,20,50,18828
9,1,35,14838
9,2,61,13766
9,3,54,15755
9,4,54,17712
9,5,56,17691
9,6,29,14414
9,7,34,17700
9,8,32,12865
9,9,22,21590
9,10,58,18498
9,11,52,16299
9,12,46,18729
9,13,7,13907
9,14,45,13471
9,15,54,26171
9,16,53,15012
9,17,65,14548
